systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_water;_boundaries;B557;;;USA-CT,RI,MA/ATL;b.557;
b_water;_boundaries;B558;;;USA-MA/ATL;b.558;
b_water;_boundaries;B559;;;USA-MA/ATL;b.559;
b_water;_boundaries;B560;;;USA-MA/ATL;b.560;
b_water;_boundaries;B561;;;USA-MA/ATL;b.561;
b_water;_boundaries;B562;;;USA-MA/ATL;b.562;
b_water;_boundaries;B563;;;USA-MA/ATL;b.563;
b_water;_boundaries;B564;;;USA-MA/ATL;b.564;
b_water;_boundaries;B565;;;USA-MA,NH,ME/ATL;b.565;
b_water;_boundaries;B566;;;USA-ME/ATL;b.566;
b_water;_boundaries;B567;;;USA-ME/ATL;b.567;
b_water;_boundaries;B569;;;USA-TX/Gulf of Mexico;b.569;
b_water;_boundaries;B574;;;USA-LA-Bel Pass Bayou/Gulf of Mexico;b.574;
b_water;_boundaries;B575;;;USA-LA-Live Oak/Gulf of Mexico;b.575;
b_water;_boundaries;B576;;;USA-LA Isl./Gulf of Mexico;b.576;
b_water;_boundaries;B577;;;USA-LA Isl./Gulf of Mexico;b.577;
b_water;_boundaries;B578;;;USA-LA Isl./Gulf of Mexico;b.578;
b_water;_boundaries;B579;;;USA-LA Isl./Gulf of Mexico;b.579;
b_water;_boundaries;B587;;;USA-FL-Keys/Gulf of Mexico;b.587;
b_water;_boundaries;B588;;;USA-FL-Keys/Gulf of Mexico;b.588;
b_water;_boundaries;B595;;;USA-NC-Bald Head/ATL;b.595;
b_water;_boundaries;B600;;;USA-NC Isl./ATL;b.600;
b_water;_boundaries;B603;;;USA-MD-Bloodsworth/Chesapeake;b.603;
b_water;_boundaries;B604;;;USA-MD-Jones/Chesapeake;b.604;
b_water;_boundaries;B605;;;USA-MD-Smith/Chesapeake;b.605;
b_water;_boundaries;B608;;;USA-CT-Goose/ATL;b.608;
b_water;_boundaries;B609;;;USA-RI-Fort/ATL;b.609;
b_water;_boundaries;B610;;;USA-RI-Conanicut/ATL;b.610;
b_water;_boundaries;B611;;;USA-RI-Prudence/ATL;b.611;
b_water;_boundaries;B612;;;USA-MA-Martha/ATL;b.612;
b_water;_boundaries;B613;;;USA-MA-Nantucket/ATL;b.613;
b_water;_boundaries;B614;;;USA-ME-Vinalhaven/ATL;b.614;
b_water;_boundaries;B615;;;USA-ME-Hutchins/ATL;b.615;
b_water;_boundaries;B616;;;USA-ME-Haut/ATL;b.616;
b_water;_boundaries;B617;;;USA-ME-Swans/ATL;b.617;
b_water;_boundaries;B618;;;USA-ME-Great Waas/ATL;b.618;
b_water;_boundaries;B619;;;USA-ME-Harbor/ATL;b.619;
b_water;_boundaries;B630;;;USA-GA,SC/Thurmond;b.630;
b_water;_boundaries;B642;;;USA-FL/Okeechobee;b.642;
b_water;_boundaries;B643;;;USA-MN,CAN-MB,ON/Lake Woods;b.643;
b_water;_boundaries;B644;;;USA-MN,CAN-MB,ON/Lake Woods;b.644;
b_water;_boundaries;B647;;;USA,CAN/Sand Pt Lake;b.647;
b_water;_boundaries;B648;;;USA-MI/Lake Superior;b.648;
b_water;_boundaries;B649;;;USA-MI/Lake Superior;b.649;
b_water;_boundaries;B650;;;USA-MI,CAN-ON/Lake Superior;b.650;
b_water;_boundaries;B651;;;CAN-ON/Lake Superior;b.651;
b_water;_boundaries;B652;;;CAN-ON/Lake Superior;b.652;
b_water;_boundaries;B653;;;USA-MN,CAN-ON/Lake Superior;b.653;
b_water;_boundaries;B654;;;USA-MI-Madeline/Lake Superior;b.654;
b_water;_boundaries;B655;;;USA-MI-Oak/Lake Superior;b.655;
b_water;_boundaries;B656;;;USA-MI-Stockton/Lake Superior;b.656;
b_water;_boundaries;B657;;;USA-MI-Outer/Lake Superior;b.657;
b_water;_boundaries;B658;;;USA-MI-Birch Isle/Lake Superior;b.658;
b_water;_boundaries;B659;;;CAN-ON-Pie Island/Lake Superior;b.659;
b_water;_boundaries;B660;;;USA-MI-Grand/Lake Superior;b.660;
b_water;_boundaries;B661;;;CAN-ON-Michipicoten/Lake Superior;b.661;
b_water;_boundaries;B662;;;USA-MI/Lakes;b.662;
b_water;_boundaries;B663;;;CAN-ON/Lake George;b.663;
b_water;_boundaries;B664;;;CAN-ON/North Channel;b.664;
b_water;_boundaries;B665;;;USA-MI,WI/Lake Mich.;b.665;
b_water;_boundaries;B666;;;USA-WI/Lake Mich.;b.666;
b_water;_boundaries;B667;;;USA-WI,IL,IN,MI/Lake Mich.;b.667;
b_water;_boundaries;B668;;;USA-MI/Lake Michigan,Huron;b.668;
b_water;_boundaries;B669;;;CAN-ON,USA-MI/Huron;b.669;
b_water;_boundaries;B670;;;CAN-ON/Huron;b.670;
b_water;_boundaries;B671;;;CAN-ON/Huron;b.671;
b_water;_boundaries;B672;;;CAN-ON-Manitoulin/Huron;b.672;
b_water;_boundaries;B673;;;CAN-ON/Huron;b.673;
b_water;_boundaries;B674;;;USA-MI/Huron;b.674;
b_water;_boundaries;B675;;;USA-WI-Washington/Michigan;b.675;
b_water;_boundaries;B676;;;USA-MI-North Manitou/Michigan;b.676;
b_water;_boundaries;B677;;;USA-MI-Beaver/Michigan;b.677;
b_water;_boundaries;B678;;;USA-MI-Bois Blanc/Huron;b.678;
b_water;_boundaries;B679;;;CAN-ON-Cockburn/Huron;b.679;
b_water;_boundaries;B680;;;CAN-ON-Fitzwilliam/Huron;b.680;
b_water;_boundaries;B681;;;CAN-ON-Christian/Huron;b.681;
b_water;_boundaries;B683;;;CAN-ON,USA-MI/Lake St. Clair;b.683;
b_water;_boundaries;B685;;;USA-MI/Lake Erie;b.685;
b_water;_boundaries;B686;;;USA-MI,OH/Lake Erie;b.686;
b_water;_boundaries;B687;;;USA-OH,PA,NY/Lake Erie;b.687;
b_water;_boundaries;B688;;;CAN-ON/Lake Erie;b.688;
b_water;_boundaries;B690;;;USA-NY/Lake Ontario;b.690;
b_water;_boundaries;B691;;;USA-NY,CAN-ON/Lake Ontario;b.691;
b_water;_boundaries;B692;;;CAN-ON/Lake Ontario;b.692;
b_water;_boundaries;B693;;;CAN-ON-Amherst/Lake Ontario;b.693;
b_water;_boundaries;B694;;;CAN-ON-Wolfe/Lake Ontario;b.694;
b_water;_boundaries;B695;;;USA-NY-Grindstone/Lake Ontario;b.695;
b_water;_boundaries;B708;;;BHS-Andros/ATL;b.708;
b_water;_boundaries;B709;;;BHS-Andros/ATL;b.709;
b_water;_boundaries;B710;;;BHS-Andros/ATL;b.710;
b_water;_boundaries;B711;;;BHS-Andros/ATL;b.711;
b_water;_boundaries;B712;;;BHS-Andros/ATL;b.712;
b_water;_boundaries;B713;;;BHS-New Providence/ATL;b.713;
b_water;_boundaries;B714;;;BHS-Grand Bahama/ATL;b.714;
b_water;_boundaries;B715;;;BHS-Lightborne/ATL;b.715;
b_water;_boundaries;B716;;;BHS-Big Cross/ATL;b.716;
b_water;_boundaries;B717;;;BHS-Mores/ATL;b.717;
b_water;_boundaries;B718;;;BHS-Great Abaco/ATL;b.718;
b_water;_boundaries;B719;;;BHS-Bluff/ATL;b.719;
b_water;_boundaries;B720;;;BHS-Eleuthera/ATL;b.720;
b_water;_boundaries;B721;;;BHS-Cat/ATL;b.721;
b_water;_boundaries;B791;;;CAN-BC/PAC;b.791;
b_water;_boundaries;B792;;;CAN-NL/ATL;b.792;
b_water;_boundaries;B793B;;;CAN-MB/Hudson;b.793b;
b_water;_boundaries;B794A;;;CAN-NB/St. Lawrence;b.794a;
b_water;_boundaries;B794C;;;CAN-NB/Bay of Fundy;b.794c;
b_water;_boundaries;B795;;;CAN-NL/ATL;b.795;
